"Jordbruk, skogsbruk och fiske","9,509","9,119","9,394","9,722","9,188","9,319","9,318","9,168","9,041","9,313",
Utvinning av mineral,797,667,908,920,944,946,985,960,"1,084","1,123",
Tillverkningsindustri,"18,367","14,644","17,606","16,546","15,785","14,803","14,833","15,032","14,946","15,034",
"El, gas och värmeverk samt vatten, avlopp och avfall","10,248","10,520","12,974","10,603","9,892","9,526","8,572","8,287","8,590","8,330",
Byggverksamhet,"1,940","1,916","2,024","2,037","1,996","1,967","1,910","1,974","1,902","1,966",
Transportindustri,"14,899","14,443","14,085","13,327","12,519","12,060","12,333","12,281","12,969","14,022",
Övriga tjänster,"4,130","3,951","4,140","4,145","3,829","3,698","3,585","3,596","3,469","3,374",
Offentlig sektor,863,930,877,829,823,742,722,743,721,708,
Hushåll och ideella föreningar,"11,392","11,327","11,098","10,348","9,947","9,854","9,758","9,868","9,588","9,402",
Utsläpp av växthusgaser per bransch (SNI 2007),"72,145","67,519","73,105","68,478","64,922","62,914","62,014","61,908","62,309","63,272",
